Taula 1
Wells Fargo & Company (WFC) — Interim data;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
$87.13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wells Fargo & Company;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WFC   949746101   2649100   NYSE    Common stock    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FactSet Fundamentals;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;30 SEP '25;30 JUN '25;31 MAR '25;31 DEC '24;30 SEP '24;30 JUN '24;31 MAR '24;31 DEC '23;30 SEP '23;30 JUN '23;31 MAR '23;31 DEC '22;30 SEP '22;30 JUN '22;31 MAR '22;31 DEC '21;30 SEP '21;30 JUN '21;31 MAR '21;31 DEC '20;30 SEP '20;30 JUN '20;31 MAR '20;31 DEC '19;30 SEP '19;30 JUN '19;31 MAR '19;31 DEC '18;30 SEP '18;30 JUN '18;31 MAR '18;31 DEC '17;30 SEP '17;30 JUN '17;31 MAR '17;31 DEC '16;30 SEP '16;30 JUN '16;31 MAR '16;31 DEC '15;30 SEP '15;30 JUN '15;31 MAR '15;31 DEC '14;30 SEP '14;30 JUN '14;31 MAR '14;31 DEC '13;30 SEP '13;30 JUN '13;31 MAR '13;31 DEC '12;30 SEP '12;30 JUN '12;31 MAR '12;31 DEC '11;30 SEP '11;30 JUN '11;31 MAR '11;31 DEC '10;30 SEP '10;30 JUN '10;31 MAR '10;31 DEC '09;30 SEP '09;30 JUN '09;31 MAR '09;31 DEC '08;30 SEP '08;30 JUN '08;31 MAR '08
Income / loss before income tax expense / benefit;6.909;6.438;5.326;5.383;6.234;6.160;5.587;3.410;6.547;5.833;5.846;2.891;4.476;3.598;4.664;8.110;6.926;8.189;5.591;3.866;3.318;-5.799;664;3.602;6.116;7.632;6.848;7.120;7.598;7.119;6.701;4.599;6.781;8.139;7.858;7.562;8.255;8.222;8.081;8.156;8.773;8.549;8.163;8.311;8.597;8.655;8.352;8.217;8.301;8.471;7.640;7.221;7.510;7.092;6.648;6.057;6.140;6.073;5.386;5.165;5.176;4.659;4.001;3.962;4.671;4.724;4.641;-4.777;2.381;2.603;3.093
Income tax expense / benefit;-1.300;-916;-522;-120;-1.064;-1.251;-964;100;-811;-930;-966;29;-912;-622;-746;-1.711;-1.521;-1.445;-901;-574;83;2.001;-159;-678;-1.304;-1.294;-881;-966;-1.512;-1.810;-1.374;1.642;-2.181;-2.245;-2.133;-2.258;-2.601;-2.649;-2.567;-2.533;-2.790;-2.763;-2.279;-2.519;-2.642;-2.869;-2.277;-2.504;-2.618;-2.863;-2.420;-1.924;-2.480;-2.371;-2.328;-1.874;-1.998;-2.001;-1.572;-1.672;-1.751;-1.514;-1.401;-949;-1.355;-1.475;-1.552;2.036;-730;-834;-1.074
Net income / loss before noncontrolling interests;5.609;5.522;4.804;5.263;5.170;4.909;4.623;3.510;5.736;4.903;4.880;2.920;3.564;2.976;3.918;6.399;5.405;6.744;4.690;3.292;3.401;-3.798;505;2.924;4.812;6.338;5.967;6.154;6.086;5.309;5.327;6.241;4.600;5.894;5.725;5.304;5.654;5.573;5.514;5.623;5.983;5.786;5.884;5.792;5.955;5.786;6.075;5.713;5.683;5.608;5.220;5.297;5.030;4.721;4.320;4.183;4.142;4.072;3.814;3.493;3.425;3.145;2.600;3.013;3.316;3.249;3.089;-2.741;1.651;1.769;2.019
Net income / loss from noncontrolling interests;-20;-28;90;-184;-56;1;-4;-64;31;35;111;235;28;166;-130;-649;-283;-704;-54;-201;-185;-48;148;-51;-202;-132;-107;-90;-79;-123;-191;-90;-58;-38;-91;-30;-10;-15;-52;-48;-187;-67;-80;-83;-226;-60;-182;-103;-105;-89;-49;-207;-93;-99;-72;-76;-87;-124;-55;-79;-86;-83;-53;-190;-81;-77;-44;7;-14;-16;-20
Wells Fargo net income / loss;5.589;5.494;4.894;5.079;5.114;4.910;4.619;3.446;5.767;4.938;4.991;3.155;3.592;3.142;3.788;5.750;5.122;6.040;4.636;3.091;3.216;-3.846;653;2.873;4.610;6.206;5.860;6.064;6.007;5.186;5.136;6.151;4.542;5.856;5.634;5.274;5.644;5.558;5.462;5.575;5.796;5.719;5.804;5.709;5.729;5.726;5.893;5.610;5.578;5.519;5.171;5.090;4.937;4.622;4.248;4.107;4.055;3.948;3.759;3.414;3.339;3.062;2.547;2.823;3.235;3.172;3.045;-2.734;1.637;1.753;1.999
Preferred stock dividends and other;-248;-280;-278;-278;-262;-270;-306;-286;-317;-279;-278;-278;-279;-279;-279;-280;-335;-297;-380;-350;-315;-314;-611;-327;-573;-358;-353;-353;-554;-394;-403;-411;-411;-406;-401;-402;-401;-385;-377;-372;-353;-356;-343;-327;-321;-302;-286;-241;-261;-247;-240;-233;-220;-219;-226;-219;-216;-220;-189;-182;-189;-184;-175;;-598;-597;-661;;;0;0
Wells Fargo net income / loss applicable to common stock;5.341;5.214;4.616;4.801;4.852;4.640;4.313;3.160;5.450;4.659;4.713;2.877;3.313;2.863;3.509;5.470;4.787;5.743;4.256;2.741;2.901;-4.160;42;2.546;4.037;5.848;5.507;5.711;5.453;4.792;4.733;5.740;4.131;5.450;5.233;4.872;5.243;5.173;5.085;5.203;5.443;5.363;5.461;5.382;5.408;5.424;5.607;5.369;5.317;5.272;4.931;4.857;4.717;4.403;4.022;3.888;3.839;3.728;3.570;3.232;3.150;2.878;2.372;394;2.637;2.575;2.384;-3.020;1.637;1.753;1.999
Per share;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Basic;1,68;1,61;1,41;1,45;1,43;1,35;1,21;0,87;1,49;1,26;1,24;0,76;0,87;0,75;0,92;1,39;1,18;1,39;1,03;0,66;0,70;-1,01;0,01;0,61;0,93;1,31;1,21;1,22;1,14;0,98;0,97;1,17;0,83;1,09;1,05;0,97;1,04;1,02;1,00;1,02;1,06;1,04;1,06;1,04;1,04;1,02;1,07;1,02;1,00;1,00;0,93;0,92;0,89;0,83;0,76;0,74;0,73;0,70;0,68;0,62;0,60;0,55;0,46;0,08;0,56;0,58;0,56;-0,84;0,49;0,53;0,61
Diluted;1,66;1,60;1,39;1,43;1,42;1,33;1,20;0,86;1,48;1,25;1,23;0,75;0,86;0,75;0,91;1,38;1,17;1,38;1,02;0,66;0,70;-1,01;0,01;0,60;0,92;1,30;1,20;1,21;1,13;0,98;0,96;1,16;0,83;1,08;1,03;0,96;1,03;1,01;0,99;1,00;1,05;1,03;1,04;1,02;1,02;1,01;1,05;1,00;0,99;0,98;0,92;0,91;0,88;0,82;0,75;0,73;0,72;0,70;0,67;0,61;0,60;0,55;0,45;0,08;0,56;0,57;0,56;-0,84;0,49;0,53;0,60
Weighted average shares;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Basic;3.182,2;3.232,7;3.280,4;3.312,8;3.384,8;3.448,3;3.560,1;3.620,9;3.648,8;3.699,9;3.785,6;3.799,9;3.796,5;3.793,8;3.831,1;3.927,6;4.056,3;4.124,6;4.141,3;4.137,6;4.123,8;4.105,5;4.104,8;4.197,1;4.358,5;4.469,4;4.551,5;4.665,8;4.784,0;4.865,8;4.885,7;4.912,5;4.948,6;4.989,9;5.008,6;5.025,6;5.043,4;5.066,9;5.075,7;5.108,5;5.125,8;5.151,9;5.160,4;5.192,5;5.225,9;5.268,4;5.262,8;5.270,3;5.295,3;5.304,7;5.279,0;5.272,4;5.288,1;5.306,9;5.282,6;5.271,9;5.275,5;5.286,5;5.278,8;5.256,2;5.240,1;5.219,7;5.190,4;4.764,8;4.678,3;4.483,1;4.247,4;3.582,4;3.316,4;3.309,8;3.302,4
Diluted;3.223,5;3.267,0;3.321,6;3.360,7;3.425,1;3.486,2;3.600,1;3.657,0;3.680,6;3.724,9;3.818,7;3.832,7;3.825,1;3.819,6;3.868,9;3.964,7;4.090,4;4.156,1;4.171,0;4.151,3;4.132,2;4.105,5;4.135,3;4.234,6;4.389,6;4.495,0;4.584,0;4.700,8;4.823,2;4.899,8;4.930,7;4.963,1;4.996,8;5.037,7;5.070,4;5.078,2;5.094,6;5.118,1;5.139,4;5.177,9;5.193,8;5.220,5;5.243,6;5.279,2;5.310,4;5.350,8;5.353,3;5.358,6;5.381,7;5.384,6;5.353,5;5.338,7;5.355,6;5.369,9;5.337,8;5.317,6;5.319,2;5.331,7;5.333,1;5.293,8;5.273,2;5.260,8;5.225,2;4.796,1;4.706,4;4.501,6;4.249,3;3.593,6;3.331,0;3.321,4;3.317,9
All figures in millions of U.S. Dollar except per share items.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
